# GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1 中的 order_id 为工单编号，修改工单编号便可以查看对应的工单详情
GET /gateway/ai-audit-server/external/audit/getOrderInfoByOrderId?order_id=GDA2026042408033800&with_order=true HTTP/1.1
Host: twaudit.hngsetc.com
        "picId": "S0050430010013200101022026042202000004",
        "type": "trade",
        "picTime": "2026-04-22 02:03:15",
        "tradeTime": "2026-04-22 02:03:13",
        "lng": "112.42510700",
        "lat": "27.98545200",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C0B",
        "feeMileage": 9893,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "S005043001001520010",
        "gantryName": "灰汤站-翻江站1",
        "time": "2026-04-22 02:10:24",
        "tradeResult": "0",
        "fee": 3285,
        "tradeId": "S0050430010015200102026042202100011",
        "picId": "S0050430010015200101042026042202000013",
        "type": "trade",
        "picTime": "2026-04-22 02:10:26",
        "tradeTime": "2026-04-22 02:10:24",
        "lng": "112.33345400",
        "lat": "27.96810400",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C0D",
        "feeMileage": 21213,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "S005043001001720010",
        "gantryName": "翻江站-岐山互通立交1",
        "time": "2026-04-22 02:26:38",
        "tradeResult": "0",
        "fee": 160,
        "tradeId": "S0050430010017200102026042202100019",
        "picId": "S0050430010017200101022026042202000019",
        "type": "trade",
        "picTime": "2026-04-22 02:26:39",
        "tradeTime": "2026-04-22 02:26:38",
        "lng": "112.13944000",
        "lat": "27.89813000",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C0F",
        "feeMileage": 1032,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "S005043001001820010",
        "gantryName": "岐山互通立交-娄底站1",
        "time": "2026-04-22 02:38:27",
        "tradeResult": "0",
        "fee": 2600,
        "tradeId": "S0050430010018200102026042202100027",
        "picId": "S0050430010018200101042026042202000039",
        "type": "trade",
        "picTime": "2026-04-22 02:38:29",
        "tradeTime": "2026-04-22 02:38:27",
        "lng": "112.01392000",
        "lat": "27.85636800",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C10",
        "feeMileage": 15960,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "S005043001002020010",
        "gantryName": "娄底站-桥头河站1",
        "time": "2026-04-22 02:41:08",
        "tradeResult": "0",
        "fee": 2283,
        "tradeId": "S0050430010020200102026042202100030",
        "picId": "S0050430010020200101022026042202000025",
        "type": "trade",
        "picTime": "2026-04-22 02:41:09",
        "tradeTime": "2026-04-22 02:41:08",
        "lng": "111.98075600",
        "lat": "27.84659800",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C12",
        "feeMileage": 14742,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "S005043001002220010",
        "gantryName": "桥头河站-龙塘互通立交1",
        "time": "2026-04-22 02:52:22",
        "tradeResult": "0",
        "fee": 1967,
        "tradeId": "S0050430010022200102026042202200041",
        "picId": "S0050430010022200101042026042202000055",
        "type": "trade",
        "picTime": "2026-04-22 02:52:25",
        "tradeTime": "2026-04-22 02:52:22",
        "lng": "111.84389200",
        "lat": "27.80668000",
        "gantryType": "0",
        "roadSectionName": "长韶娄高速",
        "flag": "1",
        "gantryHex": "495C14",
        "feeMileage": 12698,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "G005543003003820010",
        "gantryName": "龙塘互通立交-涟源东站1",
        "time": "2026-04-22 03:07:54",
        "tradeResult": "0",
        "fee": 1372,
        "tradeId": "G0055430030038200102026042203200018",
        "picId": "G0055430030038200101022026042203000008",
        "type": "trade",
        "picTime": "2026-04-22 03:07:55",
        "tradeTime": "2026-04-22 03:07:54",
        "lng": "111.71986100",
        "lat": "27.70660400",
        "gantryType": "0",
        "roadSectionName": "安邵高速",
        "flag": "1",
        "gantryHex": "492108",
        "feeMileage": 8546,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "G005543003004020010",
        "gantryName": "涟源东站-涟源互通立交1",
        "time": "2026-04-22 03:10:11",
        "tradeResult": "0",
        "fee": 691,
        "tradeId": "G0055430030040200102026042203200016",
        "picId": "G0055430030040200101022026042203000010",
        "type": "trade",
        "picTime": "2026-04-22 03:10:13",
        "tradeTime": "2026-04-22 03:10:11",
        "lng": "111.72494700",
        "lat": "27.68142000",
        "gantryType": "0",
        "roadSectionName": "安邵高速",
        "flag": "1",
        "gantryHex": "49210A",
        "feeMileage": 4301,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "G005543003004120010",
        "gantryName": "涟源互通立交-白马站1",
        "time": "2026-04-22 03:19:01",
        "tradeResult": "0",
        "fee": 1273,
        "tradeId": "G0055430030041200102026042203100016",
        "picId": "G0055430030041200101042026042203000010",
        "type": "trade",
        "picTime": "2026-04-22 03:19:01",
        "tradeTime": "2026-04-22 03:19:01",
        "lng": "111.69696300",
        "lat": "27.61040000",
        "gantryType": "0",
        "roadSectionName": "安邵高速",
        "flag": "1",
        "gantryHex": "49210B",
        "feeMileage": 7927,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      },
      {
        "passId": "013701250523630026557320260422012016",
        "gantryId": "G005543003004220010",
        "gantryName": "白马（出口）",
        "time": "2026-04-22 03:21:38",
        "tradeResult": "0",
        "fee": 141,
        "tradeId": "G0055430030042200102026042203200001",
        "picId": "G005543003019020202002026042203000001",
        "type": "trade",
        "picTime": null,
        "tradeTime": "2026-04-22 03:21:38",
        "lng": "111.68710300",
        "lat": "27.60036700",
        "gantryType": "4",
        "roadSectionName": "安邵高速",
        "flag": "1",
        "gantryHex": "49210C",
        "feeMileage": 943,
        "matching": 1,
        "tollintervalid": null,
        "tollintervalName": null,
        "payFee": null,
        "feeVehicleType": null,
        "realFee": null,
        "discountFee": null,
        "cardId": "3701015600251503",
        "mediaType": "1",
        "mediaTypeName": "OBU",
        "specialType": "",
        "specialTypeName": null,
        "vehicleId": "湘A91230D_5",
        "sourceName": null,
        "gantryOrderNum": "2",
        "gantryOrderNumName": "下行"
      }
    ],
    "auditOrderEvidence": {
      "orderId": "GDA2026042408033800",
      "passId": "013701250523630026557320260422012016",
      "payFee": 25010,
      "discountFee": 1260,
      "realFee": 23750,
      "fusePathVos": [
        {
          "passId": null,
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "485A01",
          "feeMileage": null,
          "matching": 0,
          "tollintervalid": "S004043001000320",
          "tollintervalName": "学士站-含浦枢纽3",
          "payFee": 44,
          "feeVehicleType": 15,
          "realFee": 42,
          "discountFee": 2,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": null,
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "485A01",
          "feeMileage": null,
          "matching": 0,
          "tollintervalid": "S004043004000110",
          "tollintervalName": "学士(入口绕城西南段)",
          "payFee": 509,
          "feeVehicleType": 15,
          "realFee": 484,
          "discountFee": 25,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S004043001000110010",
          "gantryName": "学士（入口）",
          "time": "2026-04-22 01:20:16",
          "tradeResult": "0",
          "fee": 733,
          "tradeId": "S0040430010001100102026042201200020",
          "picId": null,
          "type": "trade",
          "picTime": null,
          "tradeTime": "2026-04-22 01:20:16",
          "lng": "112.89322000",
          "lat": "28.14126300",
          "gantryType": "3",
          "roadSectionName": "长潭西高速",
          "flag": "2",
          "gantryHex": "485A01",
          "feeMileage": 4844,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "学士（入口）",
          "payFee": 218,
          "feeVehicleType": 15,
          "realFee": 207,
          "discountFee": 11,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "1",
          "gantryOrderNumName": "上行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S004043001000420010",
          "gantryName": "含浦互通立交-赤江互通立交1",
          "time": "2026-04-22 01:21:58",
          "tradeResult": "0",
          "fee": 299,
          "tradeId": "S0040430010004200102026042201100022",
          "picId": "S0040430010004200101042026042201000038",
          "type": "trade",
          "picTime": "2026-04-22 01:21:59",
          "tradeTime": "2026-04-22 01:21:58",
          "lng": "112.88428700",
          "lat": "28.13210100",
          "gantryType": "0",
          "roadSectionName": "长潭西高速",
          "flag": "1",
          "gantryHex": "495A02",
          "feeMileage": 1980,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "含浦枢纽-赤江枢纽4",
          "payFee": 315,
          "feeVehicleType": 15,
          "realFee": 299,
          "discountFee": 16,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "195",
          "specialTypeName": "前序没有交易成功的门架",
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": null,
          "gantryId": "S005043001000420010",
          "gantryName": "赤江互通立交-道林站1",
          "time": null,
          "tradeResult": null,
          "fee": null,
          "tradeId": null,
          "picId": null,
          "type": null,
          "picTime": null,
          "tradeTime": null,
          "lng": "112.84171600",
          "lat": "28.12235800",
          "gantryType": "0",
          "roadSectionName": null,
          "flag": null,
          "gantryHex": "495C03",
          "feeMileage": null,
          "matching": 0,
          "tollintervalid": "S005043001000620",
          "tollintervalName": "金凤站-道林站6",
          "payFee": 511,
          "feeVehicleType": 15,
          "realFee": 485,
          "discountFee": 26,
          "cardId": null,
          "mediaType": null,
          "mediaTypeName": null,
          "specialType": null,
          "specialTypeName": null,
          "vehicleId": null,
          "sourceName": null,
          "gantryOrderNum": null,
          "gantryOrderNumName": null
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001000420010",
          "gantryName": "赤江互通立交-道林站1",
          "time": "2026-04-22 01:27:07",
          "tradeResult": "0",
          "fee": 2252,
          "tradeId": "S0050430010004200102026042201200038",
          "picId": "S0050430010004200101042026042201000041",
          "type": "trade",
          "picTime": "2026-04-22 01:27:08",
          "tradeTime": "2026-04-22 01:27:07",
          "lng": "112.84171600",
          "lat": "28.12235800",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C03",
          "feeMileage": 14548,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "赤江枢纽-金凤站4",
          "payFee": 1860,
          "feeVehicleType": 15,
          "realFee": 1767,
          "discountFee": 93,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001000820010",
          "gantryName": "道林站-花明楼站1",
          "time": "2026-04-22 01:38:16",
          "tradeResult": "0",
          "fee": 1608,
          "tradeId": "S0050430010008200102026042201100046",
          "picId": "S0050430010008200101012026042201000019",
          "type": "trade",
          "picTime": "2026-04-22 01:38:16",
          "tradeTime": "2026-04-22 01:38:16",
          "lng": "112.73043200",
          "lat": "28.06002100",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C06",
          "feeMileage": 10386,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "道林站-花明楼站8",
          "payFee": 1693,
          "feeVehicleType": 15,
          "realFee": 1608,
          "discountFee": 85,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001020010",
          "gantryName": "花明楼站-韶山北互通立交1",
          "time": "2026-04-22 01:45:08",
          "tradeResult": "0",
          "fee": 1176,
          "tradeId": "S0050430010010200102026042201100050",
          "picId": "S0050430010010200101022026042201000042",
          "type": "trade",
          "picTime": "2026-04-22 01:45:10",
          "tradeTime": "2026-04-22 01:45:08",
          "lng": "112.64029500",
          "lat": "28.05007300",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C08",
          "feeMileage": 7596,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "花明楼站-狮子山枢纽10",
          "payFee": 1238,
          "feeVehicleType": 15,
          "realFee": 1176,
          "discountFee": 62,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001120010",
          "gantryName": "韶山北互通立交-金石站1",
          "time": "2026-04-22 02:00:04",
          "tradeResult": "0",
          "fee": 2378,
          "tradeId": "S0050430010011200102026042202200001",
          "picId": "S0050430010011200101022026042202000001",
          "type": "trade",
          "picTime": "2026-04-22 02:00:05",
          "tradeTime": "2026-04-22 02:00:04",
          "lng": "112.46461800",
          "lat": "27.99162300",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C09",
          "feeMileage": 15354,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "狮子山枢纽-金石站11",
          "payFee": 2503,
          "feeVehicleType": 15,
          "realFee": 2378,
          "discountFee": 125,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001320010",
          "gantryName": "金石站-灰汤站1",
          "time": "2026-04-22 02:03:13",
          "tradeResult": "0",
          "fee": 1532,
          "tradeId": "S0050430010013200102026042202100004",
          "picId": "S0050430010013200101022026042202000004",
          "type": "trade",
          "picTime": "2026-04-22 02:03:15",
          "tradeTime": "2026-04-22 02:03:13",
          "lng": "112.42510700",
          "lat": "27.98545200",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C0B",
          "feeMileage": 9893,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "金石站-灰汤站13",
          "payFee": 1613,
          "feeVehicleType": 15,
          "realFee": 1532,
          "discountFee": 81,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001520010",
          "gantryName": "灰汤站-翻江站1",
          "time": "2026-04-22 02:10:24",
          "tradeResult": "0",
          "fee": 3285,
          "tradeId": "S0050430010015200102026042202100011",
          "picId": "S0050430010015200101042026042202000013",
          "type": "trade",
          "picTime": "2026-04-22 02:10:26",
          "tradeTime": "2026-04-22 02:10:24",
          "lng": "112.33345400",
          "lat": "27.96810400",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C0D",
          "feeMileage": 21213,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "灰汤站-翻江站15",
          "payFee": 3458,
          "feeVehicleType": 15,
          "realFee": 3285,
          "discountFee": 173,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001720010",
          "gantryName": "翻江站-岐山互通立交1",
          "time": "2026-04-22 02:26:38",
          "tradeResult": "0",
          "fee": 160,
          "tradeId": "S0050430010017200102026042202100019",
          "picId": "S0050430010017200101022026042202000019",
          "type": "trade",
          "picTime": "2026-04-22 02:26:39",
          "tradeTime": "2026-04-22 02:26:38",
          "lng": "112.13944000",
          "lat": "27.89813000",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C0F",
          "feeMileage": 1032,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "翻江站-岐山枢纽17",
          "payFee": 168,
          "feeVehicleType": 15,
          "realFee": 160,
          "discountFee": 8,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001001820010",
          "gantryName": "岐山互通立交-娄底站1",
          "time": "2026-04-22 02:38:27",
          "tradeResult": "0",
          "fee": 2600,
          "tradeId": "S0050430010018200102026042202100027",
          "picId": "S0050430010018200101042026042202000039",
          "type": "trade",
          "picTime": "2026-04-22 02:38:29",
          "tradeTime": "2026-04-22 02:38:27",
          "lng": "112.01392000",
          "lat": "27.85636800",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C10",
          "feeMileage": 15960,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "岐山枢纽-娄底站18",
          "payFee": 2737,
          "feeVehicleType": 15,
          "realFee": 2600,
          "discountFee": 137,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001002020010",
          "gantryName": "娄底站-桥头河站1",
          "time": "2026-04-22 02:41:08",
          "tradeResult": "0",
          "fee": 2283,
          "tradeId": "S0050430010020200102026042202100030",
          "picId": "S0050430010020200101022026042202000025",
          "type": "trade",
          "picTime": "2026-04-22 02:41:09",
          "tradeTime": "2026-04-22 02:41:08",
          "lng": "111.98075600",
          "lat": "27.84659800",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C12",
          "feeMileage": 14742,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "娄底站-桥头河站20",
          "payFee": 2403,
          "feeVehicleType": 15,
          "realFee": 2283,
          "discountFee": 120,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "S005043001002220010",
          "gantryName": "桥头河站-龙塘互通立交1",
          "time": "2026-04-22 02:52:22",
          "tradeResult": "0",
          "fee": 1967,
          "tradeId": "S0050430010022200102026042202200041",
          "picId": "S0050430010022200101042026042202000055",
          "type": "trade",
          "picTime": "2026-04-22 02:52:25",
          "tradeTime": "2026-04-22 02:52:22",
          "lng": "111.84389200",
          "lat": "27.80668000",
          "gantryType": "0",
          "roadSectionName": "长韶娄高速",
          "flag": "1",
          "gantryHex": "495C14",
          "feeMileage": 12698,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "桥头河站-龙塘枢纽22",
          "payFee": 2070,
          "feeVehicleType": 15,
          "realFee": 1967,
          "discountFee": 103,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "G005543003003820010",
          "gantryName": "龙塘互通立交-涟源东站1",
          "time": "2026-04-22 03:07:54",
          "tradeResult": "0",
          "fee": 1372,
          "tradeId": "G0055430030038200102026042203200018",
          "picId": "G0055430030038200101022026042203000008",
          "type": "trade",
          "picTime": "2026-04-22 03:07:55",
          "tradeTime": "2026-04-22 03:07:54",
          "lng": "111.71986100",
          "lat": "27.70660400",
          "gantryType": "0",
          "roadSectionName": "安邵高速",
          "flag": "1",
          "gantryHex": "492108",
          "feeMileage": 8546,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "龙塘枢纽-涟源东站38",
          "payFee": 1444,
          "feeVehicleType": 15,
          "realFee": 1372,
          "discountFee": 72,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "G005543003004020010",
          "gantryName": "涟源东站-涟源互通立交1",
          "time": "2026-04-22 03:10:11",
          "tradeResult": "0",
          "fee": 691,
          "tradeId": "G0055430030040200102026042203200016",
          "picId": "G0055430030040200101022026042203000010",
          "type": "trade",
          "picTime": "2026-04-22 03:10:13",
          "tradeTime": "2026-04-22 03:10:11",
          "lng": "111.72494700",
          "lat": "27.68142000",
          "gantryType": "0",
          "roadSectionName": "安邵高速",
          "flag": "1",
          "gantryHex": "49210A",
          "feeMileage": 4301,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "涟源东站-涟源枢纽40",
          "payFee": 727,
          "feeVehicleType": 15,
          "realFee": 691,
          "discountFee": 36,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "G005543003004120010",
          "gantryName": "涟源互通立交-白马站1",
          "time": "2026-04-22 03:19:01",
          "tradeResult": "0",
          "fee": 1273,
          "tradeId": "G0055430030041200102026042203100016",
          "picId": "G0055430030041200101042026042203000010",
          "type": "trade",
          "picTime": "2026-04-22 03:19:01",
          "tradeTime": "2026-04-22 03:19:01",
          "lng": "111.69696300",
          "lat": "27.61040000",
          "gantryType": "0",
          "roadSectionName": "安邵高速",
          "flag": "1",
          "gantryHex": "49210B",
          "feeMileage": 7927,
          "matching": 1,
          "tollintervalid": null,
          "tollintervalName": "涟源枢纽-白马站41",
          "payFee": 1340,
          "feeVehicleType": 15,
          "realFee": 1273,
          "discountFee": 67,
          "cardId": "3701015600251503",
          "mediaType": "1",
          "mediaTypeName": "OBU",
          "specialType": "",
          "specialTypeName": null,
          "vehicleId": "湘A91230D_5",
          "sourceName": null,
          "gantryOrderNum": "2",
          "gantryOrderNumName": "下行"
        },
        {
          "passId": "013701250523630026557320260422012016",
          "gantryId": "G005543003004220010",
          "gantryName": "白马（出口）",
          "time": "2026-04-22 03:21:38",
